ID,分類1,分類2,名称,住所,電話,ＦＡＸ,経度,緯度
2100,避難所,鳥取市,美保地区公民館,鳥取市吉成2丁目5-22,857263981,857264002,134.2248854,35.48566644
2101,避難所,鳥取市,美保南小学校,鳥取市宮長200-1,857534454,857531911,134.2223899,35.47891734
2103,避難所,鳥取市,美保南体育館,鳥取市叶286-12,857534798,,134.220856,35.47396269
2102,避難所,鳥取市,美保南地区公民館,鳥取市叶286,857534798,857534809,134.2207101,35.47338885
2105,避難所,鳥取市,西円通寺児童館,鳥取市西円通寺104-3,857536175,,134.2085555,35.433306
2104,避難所,鳥取市,倉田小学校,鳥取市八坂54-1,857531042,857535884,134.2156093,35.45034129
2107,避難所,鳥取市,倉田地区公民館,鳥取市八坂365-2,857532259,,134.2173241,35.45114525
2109,避難所,鳥取市,鳥取市営サッカー場（バードスタジアム）,鳥取市蔵田423,857536565,,134.2217774,35.45822261
2106,避難所,鳥取市,倉田体育館,鳥取市八坂49-1,,,134.2163552,35.45148819
2109,避難所,鳥取市,鳥取市営サッカー場（バードスタジアム）,鳥取市蔵田423,857536565,,134.2217774,35.45822261
2110,避難所,鳥取市,面影小学校,鳥取市雲山42,857224502,857271261,134.2405643,35.4812211
2111,避難所,鳥取市,白ゆり保育園,鳥取市面影１丁目8-16,857225712,,134.2464196,35.47864853
2113,避難所,鳥取市,面影地区公民館,鳥取市桜谷162-6,857249033,,134.2465877,35.47078953
2115,避難所,鳥取市,美和小学校,鳥取市竹生64,857532355,857533408,134.2041325,35.45414168
2117,避難所,鳥取市,江山人権福祉センター,鳥取市下味野1058-3,857531542,,134.2075775,35.46811402
2114,避難所,鳥取市,神戸小学校,鳥取市中砂見936,857550007,857550242,134.1664353,35.41670276
2118,避難所,鳥取市,下味野児童館,鳥取市下味野1058-2,857531010,,134.2075775,35.46787916
2121,避難所,鳥取市,大正小学校,鳥取市古海291-3,857222739,857215843,134.2081216,35.49445389
2119,避難所,鳥取市,大和地区体育館,鳥取市倭文121-2,857530404,,134.2022437,35.44614749
2119,避難所,鳥取市,大和地区体育館,鳥取市倭文121-2,857530404,,134.2022437,35.44614749
2121,避難所,鳥取市,大正小学校,鳥取市古海291-3,857222739,857215843,134.2081216,35.49445389
2122,避難所,鳥取市,高草中学校,鳥取市徳尾108－1,857224455,857237240,134.2053876,35.50246578
2123,避難所,鳥取市,古海児童館,鳥取市古海753-16,857290898,,134.2093535,35.49948414
2125,避難所,鳥取市,大正体育館,鳥取市古海708-1,857263982,,134.2090501,35.50113804
2127,避難所,鳥取市,東郷体育館,鳥取市北村32-1,857211365,,134.1931327,35.47888166
2126,避難所,鳥取市,東郷小学校,鳥取市篠坂6-1,857532542,857535583,134.1846783,35.46966146
2120,避難所,鳥取市,倭文児童館,鳥取市倭文742-3,857531670,,134.205298,35.44264413
2124,避難所,鳥取市,大正地区公民館,鳥取市古海556,857263982,857263985,134.2074099,35.49405098
2128,避難所,鳥取市,世紀小学校,鳥取市徳尾407,857230197,857215845,134.1980423,35.50241168
2129,避難所,鳥取市,豊実体育館,鳥取市野坂927,857240604,,134.1758141,35.48427551
2131,避難所,鳥取市,松保保育園,鳥取市布勢91-1,857280474,857280439,134.1816911,35.50319233
2132,避難所,鳥取市,松保体育館,鳥取市里仁560-1,857281192,,134.185198,35.50052135
2133,避難所,鳥取市,湖山小学校,鳥取市湖山町南1丁目656,857281020,857280030,134.1777856,35.51611262
2134,避難所,鳥取市,湖山西小学校,鳥取市湖山町西1丁目541,857288900,857288901,134.170753,35.52235771
2138,避難所,鳥取市,湖山西体育館,鳥取市湖山町西1丁目512,857313581,,134.1689333,35.52164118
2135,避難所,鳥取市,湖東中学校,鳥取市湖山町北6丁目323,857281064,857280041,134.1824285,35.51997621
2136,避難所,鳥取市,湖山保育園,鳥取市湖山町南1丁目825,857281573,,134.1774307,35.51498376
2137,避難所,鳥取市,学習・交流センター鳥取（国際交流プラザ・湖山西地区公民館）,鳥取市湖山町西1丁目512,857313253,,134.1694492,35.52178575
2140,避難所,鳥取市,旧湖南中学校,鳥取市吉岡温泉町789-1,857570014,857540426,134.1285892,35.48497437
2140,避難所,鳥取市,旧湖南中学校,鳥取市吉岡温泉町789-1,857570014,857540426,134.1285892,35.48497437
2141,避難所,鳥取市,湖南保育園,鳥取市松原419-2,857570116,,134.1317967,35.48744031
2142,避難所,鳥取市,湖南地区公民館,鳥取市吉岡温泉町894-14,857540804,,134.1315652,35.48766251
2143,避難所,鳥取市,湖南児童館・中央人権福祉センター湖南分館,鳥取市松原427-14,857540124,,134.1327756,35.48634546
2144,避難所,鳥取市,大郷会館（湖南地区公民館分館・湖南体育館）,鳥取市金沢16-2,857540226,,134.1328053,35.49855505
2145,避難所,鳥取市,末恒小学校,鳥取市伏野2256-61,857590321,857592075,134.1356733,35.52592244
2146,避難所,鳥取市,末恒体育館,鳥取市伏野1986-9,857591147,,134.1335087,35.52599733
2147,避難所,鳥取市,米里小学校,鳥取市古郡家75-1,857518038,857530114,134.2384887,35.45979574
2148,避難所,鳥取市,米里体育館,鳥取市古郡家84-1,857518128,,134.2376309,35.45949877
2149,避難所,鳥取市,よねさと保育園,鳥取市中大路49-1,857530411,857530520,134.2379687,35.46611309
2150,避難所,鳥取市,津ノ井小学校,鳥取市桂木238-1,857518136,857530185,134.2507082,35.45926777
2151,避難所,鳥取市,津ノ井体育館,鳥取市桂木307-11,857518253,,134.2492778,35.45590721
2153,避難所,鳥取市,わかば台保育園,鳥取市若葉台南2丁目205-2,857526126,857526160,134.2636697,35.44773447
2154,避難所,鳥取市,若葉台地区公民館,鳥取市若葉台南2丁目16-1,857522616,857522616,134.2635177,35.4482101
2155,避難所,鳥取市,若葉台体育館,鳥取市若葉台南2丁目16-1,857522616,,134.2640564,35.44835112
2152,避難所,鳥取市,若葉台小学校,鳥取市若葉台南2丁目17-1,857527200,857527210,134.2613634,35.44747627
2157,避難所,鳥取市,国府地区保健センター,鳥取市国府町糸谷15番地1,857390556,,134.2958337,35.4641668
2158,避難所,鳥取市,国府東小学校,鳥取市国府町谷3番地,857224872,857224883,134.2964268,35.46087829
2156,避難所,鳥取市,栃本児童館,鳥取市国府町栃本２７番地１,857580074,,134.364167,35.46972243
2159,避難所,鳥取市,国府町中央公民館,鳥取市国府町庁３８０番地,857241642,857240692,134.2738665,35.47254696
2160,避難所,鳥取市,国府町体育館,鳥取市国府町町屋725番地,857220118,,134.2765242,35.47340536
2164,避難所,鳥取市,国府町運動場,鳥取市国府町町屋723番地,,,134.2761112,35.47416626
2161,避難所,鳥取市,国府中学校,鳥取市国府町町屋720番地,857275261,857275262,134.2749343,35.47371554
2165,避難所,鳥取市,いなば公園,鳥取市国府町宮下1226番地,,,134.2619222,35.48002892
2166,避難所,鳥取市,新通り２公共空地（新通り公園）,鳥取市国府町新通り2丁目367,,,134.2519,35.48031333
2168,避難所,鳥取市,河原町総合体育館,鳥取市河原町曳田20-1,858763122,,134.1997994,35.39465226
2167,避難所,鳥取市,福部小学校,鳥取市福部町高江188,857752004,857743741,134.2820984,35.54398061
2170,避難所,鳥取市,西郷小学校,鳥取市河原町牛戸14-1,858850807,858850426,134.1647238,35.38016364
2172,避難所,鳥取市,用瀬地区公民館,鳥取市用瀬町大字用瀬253,858873411,,134.2054116,35.34209021
2171,避難所,鳥取市,社保育園,鳥取市用瀬町大字安蔵887-1,858872325,,134.1940373,35.31512842
2172,避難所,鳥取市,用瀬地区公民館,鳥取市用瀬町大字用瀬253,858873411,,134.2054116,35.34209021
2174,避難所,鳥取市,用瀬小学校,鳥取市用瀬町用瀬75-1,858872214,858872395,134.2016668,35.33666687
2175,避難所,鳥取市,用瀬総合支所前駐車場,鳥取市用瀬町用瀬832,858872111,858872270,134.2072115,35.34257242
2177,避難所,鳥取市,逢坂小学校,鳥取市気高町山宮369-2,857842026,857843686,134.0383332,35.48100504
2173,避難所,鳥取市,赤波集会所,鳥取市用瀬町赤波193-4,,,134.2245451,35.35029669
2178,避難所,鳥取市,宝木小学校,鳥取市気高町宝木989,857820803,857823351,134.0808237,35.51261697
2179,避難所,鳥取市,瑞穂小学校,鳥取市気高町下坂本48,857820361,857823548,134.0690434,35.49282324
2180,避難所,鳥取市,気高町遊魚センター,鳥取市気高町八束水2706-147,857822321,,134.0205237,35.51929346
2181,避難所,鳥取市,気高町農業者トレーニングセンター,鳥取市気高町浜村233-2,857822322,,134.0563638,35.51123732
2183,避難所,鳥取市,鹿野町農業者トレーニングセンター（鹿野町中央公民館）,鳥取市鹿野町鹿野342,857842131,857842191,134.0687981,35.46302857
2183,避難所,鳥取市,鹿野町農業者トレーニングセンター（鹿野町中央公民館）,鳥取市鹿野町鹿野342,857842131,857842191,134.0687981,35.46302857
2185,避難所,鳥取市,鳥取工業高等学校,鳥取市生山111番地,857518011,857518499,134.2541663,35.45833296
2184,避難所,鳥取市,(旧)鳥取湖陵高等学校美和分校（鳥取県教育文化財団）,鳥取市源太12,857517551,,134.2074916,35.4639076
2186,避難所,鳥取市,鳥取湖陵高等学校,鳥取市湖山町北3丁目250,857280250,857280105,134.1763885,35.5216669
2188,避難所,鳥取市,鳥取緑風高等学校,鳥取市湖山町南3丁目848,857373100,857280071,134.1775009,35.50888645
2189,避難所,倉吉市,上北条小学校,倉吉市新田405番地 1,858266355,858266307,133.8356703,35.46488633
2187,避難所,鳥取市,鳥取東高等学校,鳥取市立川町5丁目210,857228495,857228497,134.2441665,35.48972204
2190,避難所,倉吉市,伯耆しあわせの郷,倉吉市小田458番地,858265581,858265633,133.8377761,35.45611326
2193,避難所,倉吉市,市立上灘小学校,倉吉市上灘町136番地,858224772,858234493,133.8408075,35.42922173
2191,避難所,倉吉市,河北小学校,倉吉市海田西町1丁目130番地,858261630,858266921,133.8431808,35.46248425
2193,避難所,倉吉市,市立上灘小学校,倉吉市上灘町136番地,858224772,858234493,133.8408075,35.42922173
2194,避難所,倉吉市,成徳小学校,倉吉市仲ノ町733番地,858226173,858234495,133.8240009,35.43069121
2197,避難所,倉吉市,倉吉西保育園,倉吉市余戸谷町2970番地1,858222687,,133.8151196,35.428381
2195,避難所,倉吉市,東中学校,倉吉市宮川町2丁目76番地,858226295,858234498,133.8298653,35.43390495
2196,避難所,倉吉市,倉吉市明倫公民館,倉吉市福吉町2丁目1674番地,858220642,858236015,133.811626,35.43266966
2199,避難所,倉吉市,西中学校,倉吉市西倉吉町170番地,858282841,858285630,133.8026781,35.42585021
2201,避難所,倉吉市,社小学校,倉吉市国分寺88番地,858280951,858285444,133.792599,35.43171229
2200,避難所,倉吉市,上小鴨小学校,倉吉市福山30番地,858280954,858285657,133.7819781,35.39214099
2198,避難所,倉吉市,小鴨小学校,倉吉市中河原775番地1,858280965,858283632,133.8022522,35.41445647
2203,避難所,倉吉市,北谷小学校,倉吉市沢谷204番地,858280962,858286244,133.750757,35.40712667
2203,避難所,倉吉市,北谷小学校,倉吉市沢谷204番地,858280962,858286244,133.750757,35.40712667
2205,避難所,倉吉市,高城小学校,倉吉市上福田722番地2,858280961,858286242,133.7462364,35.43011765
2204,避難所,倉吉市,久米農村広場,倉吉市福富1番地,,,133.759828,35.40963054
2208,避難所,倉吉市,鴨川中学校,倉吉市関金町大鳥居25-1,858452555,,133.7552634,35.37165089
2206,避難所,倉吉市,灘手小学校,倉吉市尾原500番地,858225404,858225400,133.775226,35.46194664
2207,避難所,倉吉市,山守小学校,倉吉市関金町堀2163,858452053,,133.69597,35.36226053
2210,避難所,倉吉市,大山池ふれあい広場,倉吉市関金町泰久寺,,,133.7128169,35.37165731
2211,避難所,倉吉市,鳥取県立農業大学校,倉吉市関金町大鳥居1238番地,858452411,858452412,133.7563904,35.38055654
2213,避難所,倉吉市,倉吉東高等学校,倉吉市下田中町８０１番地,858225205,858225206,133.844748,35.43486614
2214,避難所,倉吉市,倉吉農業高等学校,倉吉市大谷１６６番地,858281341,858281342,133.7834084,35.43509481
2214,避難所,倉吉市,倉吉農業高等学校,倉吉市大谷１６６番地,858281341,858281342,133.7834084,35.43509481
2215,避難所,米子市,彦名小学校,米子市彦名町4500-2,0859-29-0928 0859-29-2452,0859-29-2475,133.2919078,35.45651701
2216,避難所,米子市,福生東小学校,米子市皆生5丁目18-32,0859-34-3147 0859-34-3148,0859-34-3204,133.3602733,35.44778746
2217,避難所,米子市,福米西小学校,米子市西福原八丁目16-62,0859-34-5570 0859-34-5648,0859-34-5605,133.3420415,35.45371064
2219,避難所,米子市,車尾小学校,米子市車尾2丁目27-1,0859-33-4815 0859-34-3346,0859-33-4827,133.357503,35.43192004
2220,避難所,米子市,箕蚊屋小学校,米子市下新印204-2,0859-27-0830 0859-27-2351,0859-27-2502,133.3852327,35.4221885
2221,避難所,米子市,明道小学校,米子市陽田町74-2,0859-34-3141 0859-34-3142,0859-34-3180,133.3486092,35.42668543
2222,避難所,米子市,義方小学校,米子市義方町9丁目20,0859-34-3145,0859-34-3174,133.323101,35.4385113
2223,避難所,米子市,弓ヶ浜小学校,米子市富益町1194,0859-29-0016 0859-29-2451,0859-29-2470,133.2929858,35.47181919
2224,避難所,米子市,啓成小学校,米子市博労町4丁目290,0859-34-3143 0859-34-3144,0859-34-3196,133.3407972,35.4368021
2226,避難所,米子市,崎津小学校,米子市大崎3244,0859-28-61628380 0859-28-8380,0859-28-6164,133.2583313,35.47648691
2225,避難所,米子市,五千石小学校,米子市諏訪1695,0859-26-2292 0859-26-3576,0859-26-2548,133.377344,35.39689959
2227,避難所,米子市,就将小学校,米子市愛宕町94,0859-33-4151 0859-33-4152,0859-33-4178,133.330652,35.42075793
2228,避難所,米子市,住吉小学校,米子市旗ヶ崎5丁目17-1,0859-29-5541 0859-29-3124,0859-29-3327,133.3128321,35.44468113
2229,避難所,米子市,尚徳小学校,米子市榎原1897,0859-26-3320 0859-26-4487,0859-26-3351,133.3609564,35.39808519
2230,避難所,米子市,成実小学校,米子市奈喜良81,0859-26-0645 0859-26-3543,0859-26-0671,133.3475553,35.40196451
2231,避難所,米子市,大篠津小学校,米子市大篠津町190,0859-28-8047 0859-28-6123,0859-28-6153,133.2610499,35.49057504
2232,避難所,米子市,伯仙小学校,米子市尾高418-1,0859-27-1004 0859-27-0829,0859-27-1049,133.4073353,35.41374639
2233,避難所,米子市,加茂小学校,米子市両三柳4610,0859-29-5540 0859-29-2453,0859-29-2455,133.3191294,35.45986462
2235,避難所,米子市,淀江小学校,米子市淀江町西原244-2,859563031,859563032,133.4225674,35.45032263
2235,避難所,米子市,淀江小学校,米子市淀江町西原244-2,859563031,859563032,133.4225674,35.45032263
2236,避難所,米子市,箕蚊屋中学校,米子市下新印196-4,0859-27-0807 0859-27-2305,0859-27-2305,133.3878548,35.42081725
2237,避難所,米子市,加茂中学校,米子市両三柳3883,0859-29-4333 0859-29-5899,0859-29-4356,133.3147426,35.45236702
2239,避難所,米子市,後藤ケ丘中学校,米子市上後藤1丁目1-1,0859-34-3247,0859-34-3248,133.3191239,35.44247336
2241,避難所,米子市,美保中学校,米子市大篠津町3657-1,0859-28-8037 0859-28-6122,0859-28-9286,133.2502975,35.48487432
2240,避難所,米子市,東山中学校,米子市車尾617,0859-34-3241 0859-35-8459,0859-34-3241,133.354821,35.4272061
2238,避難所,米子市,弓ヶ浜中学校,米子市富益町2070,0859-28-6864 0859-28-8394,0859-28-8394,133.2820616,35.47172713
2243,避難所,米子市,市立福米中学校,米子市西福原1636,0859-34-1250 0859-34-1282,0859-34-1250,133.34624,35.45562226
2244,避難所,米子市,湊山中学校,米子市愛宕町84,0859-34-3245 0859-35-8592,0859-35-8599,133.3297818,35.42121758
2247,避難所,米子市,ねむの木保育園,米子市錦町3丁目77,0859-34-2695,0859-34-2695,133.3289655,35.43919375
2245,避難所,米子市,淀江中学校,米子市淀江町西原660,859562021,859562096,133.4215973,35.4531653
2246,避難所,米子市,東保育園,米子市博労町3丁目41,0859-22-5695,0859-22-5695,133.339664,35.43330855
2247,避難所,米子市,ねむの木保育園,米子市錦町3丁目77,0859-34-2695,0859-34-2695,133.3289655,35.43919375
2248,避難所,米子市,西保育園,米子市錦町3丁目92-7,0859-22-5693,0859-22-5693,133.3279309,35.43961579
2249,避難所,米子市,こたか保育園,米子市尾高566,0859-27-1020,0859-27-1020,133.4050211,35.41711601
2250,避難所,米子市,あがた保育園,米子市福万363-4,859271886,859271886,133.4086256,35.40312914
2251,避難所,米子市,淀江保育園,米子市淀江町淀江485,859563678,,133.43091,35.45889874
2252,避難所,米子市,宇田川保育園,米子市淀江町中西尾224-2,859562087,,133.4326647,35.44051386
2253,避難所,米子市,大和保育園,米子市淀江町中間536-2,859562203,,133.4025012,35.4438909
2254,避難所,米子市,南保育園,米子市陽田町45,0859-22-5697,0859-22-5697,133.3471114,35.42673002
2255,避難所,米子市,彦名保育園,米子市彦名町4500-36,0859-29-0835,0859-29-0835,133.291355,35.45515297
2256,避難所,米子市,崎津保育園,米子市大崎1444,0859-28-8381,0859-28-8381,133.2561841,35.47527045
2259,避難所,米子市,さくら保育園,米子市兼久606-3,0859-26-2692,0859-26-2692,133.3628108,35.40972398
2258,避難所,米子市,夜見保育園,米子市夜見町1679-8,0859-29-0927,0859-29-0927,133.2962445,35.46522601
2257,避難所,米子市,富益保育園,米子市富益町628,0859-28-8228,0859-28-8228,133.2847406,35.47720642
2260,避難所,米子市,春日保育園,米子市上新印238,0859-27-0850,0859-27-0850,133.3904427,35.41061837
2262,避難所,米子市,米子市観光センター,米子市皆生温泉3丁目１－１,0859-35-0175,0859-22-7415,133.3618441,35.45633627
2261,避難所,米子市,あかしや,米子市夜見町330-3,0859-29-2585,0859-29-2585,133.2926198,35.4571338
2263,避難所,米子市,東山公園合宿所,米子市勝田町３６,0859-35-9988,,133.3460996,35.43198907
2264,避難所,米子市,米子市福祉保健総合センター,米子市錦町1丁目139-3,0859-23-5491,0859-23-5495,133.3336213,35.43575422
2266,避難所,米子市,米子市文化ホール,米子市末広町293,0859-35-4171,0859-35-4175,133.3338868,35.42217036
2265,避難所,米子市,米子市公会堂,米子市角盤町二丁目６１,0859-22-3236 0859-22-3237,0859-22-3237,133.3327885,35.43320933
2267,避難所,米子市,米子市淀江支所庁舎,米子市淀江町西原１１２９－１,0859-56-3111,0859-56-5201,133.4192646,35.45303929
2268,避難所,米子市,米子市営武道館,米子市糀町1丁目202,0859-32-0055,,133.3390102,35.42859481
2269,避難所,米子市,心身障害者福祉センター,米子市皆生新田2丁目10-1,0859-32-9001,0859-35-6577,133.3680878,35.45117483
2270,避難所,米子市,福生東公民館,米子市皆生4丁目8-35,0859-34-3150,0859-34-3177,133.3619983,35.44854104
2271,避難所,米子市,福生西公民館,米子市上福原5丁目9-30,0859-23-1397,0859-23-1794,133.3532908,35.45114873
2272,避難所,米子市,加茂公民館,米子市両三柳3305,0859-29-5313,0859-29-5368,133.3178754,35.45543115
2273,避難所,米子市,車尾公民館,米子市車尾2丁目28-20,0859-34-3110,0859-34-3138,133.3579647,35.4326266
2275,避難所,米子市,啓成公民館,米子市博労町4丁目364,0859-33-9075,0859-33-9083,133.3380441,35.43600512
2275,避難所,米子市,啓成公民館,米子市博労町4丁目364,0859-33-9075,0859-33-9083,133.3380441,35.43600512
2276,避難所,米子市,永江公民館,米子市永江502-4,0859-26-4747,0859-26-4853,133.3683008,35.39603156
2279,避難所,米子市,春日公民館,米子市上新印238-1,0859-27-0916,0859-27-1971,133.3905007,35.41096833
2278,避難所,米子市,大高公民館,米子市尾高1759-1,0859-27-1003,0859-27-1983,133.4081218,35.42207242
2277,避難所,米子市,巌公民館,米子市蚊屋291-1,0859-27-0910,0859-27-1978,133.3837873,35.4271245
2280,避難所,米子市,県公民館,米子市河岡5,0859-27-1010,0859-27-1982,133.4094232,35.40323733
2281,避難所,米子市,福生体育館,米子市上福原2丁目1-10,0859-34-3532,,133.3564647,35.44399947
2283,避難所,米子市,南部体育館,米子市榎原1449-4,0859-26-0663,,133.3614991,35.4003063
2282,避難所,米子市,美保体育館,米子市大篠津町3657-7,0859-25-0874,,133.251764,35.48567288
2284,避難所,米子市,箕蚊屋体育館,米子市下新印1057-2,0859-27-5620,,133.3892687,35.41503815
2285,避難所,米子市,崎津一区集会所,米子市大崎2033-1,,,133.2675109,35.46815631
2286,避難所,米子市,富益団地集会所,米子市富益町4412-72,,,133.2753204,35.46655091
2287,避難所,米子市,富益新田集会所,米子市富益町4438-1,,,133.2772783,35.47021322
2289,避難所,米子市,灘浜集会所,米子市大篠津町14,,,133.2616969,35.49669523
2291,避難所,米子市,下福万隣保館,米子市福万199-1,859270864,859270864,133.4040727,35.40275946
2290,避難所,米子市,前田隣保館,米子市尾高1424-11,0859-27-1038,0859-27-1038,133.4037324,35.4213545
2293,避難所,米子市,米子産業体育館駐車場,米子市東福原8丁目27-1,859350611,859350647,133.347263,35.45327449
2294,避難所,境港市,境西地区学習等供用施設(しおさい会館),境港市大正町97-1,859425180,859425180,133.2255633,35.54528186
2295,避難所,境港市,境東地区学習等供用施設(なぎさ会館),境港市上道町1989-5,859447280,859447283,133.2367384,35.54429009
2297,避難所,境港市,まつぼっくり事業所（旧：台場保育所）,境港市岬町45-3,859423912,,133.2448141,35.54569513
2295,避難所,境港市,境東地区学習等供用施設(なぎさ会館),境港市上道町1989-5,859447280,859447283,133.2367384,35.54429009
2296,避難所,境港市,台場公園,境港市花町10,,,133.2424753,35.54675998
2297,避難所,境港市,まつぼっくり事業所（旧：台場保育所）,境港市岬町45-3,859423912,,133.2448141,35.54569513
2299,避難所,境港市,境港市立第一中学校,境港市上道町1840,859423711,,133.2379846,35.54234234
2300,避難所,境港市,上道小学校,境港市上道町3026,859422574,859422783,133.2358562,35.53715906
2301,避難所,境港市,余子保育所・余子幼稚園,境港市福定町216,保育所：0859441393、幼稚園：0859424770,,133.2412355,35.52724548
2303,避難所,境港市,中野西公園,境港市中野町５３３９,,,133.2315639,35.53244794
2304,避難所,境港市,老人福祉センター,境港市竹内町40,859452468,859456146,133.2453251,35.51972884
2305,避難所,境港市,誠道小学校,境港市誠道町2062,859456361,859457449,133.2359536,35.51810421
2298,避難所,境港市,日ノ出広場,境港市日ノ出町58-1,,,133.2314329,35.54533504
2305,避難所,境港市,誠道小学校,境港市誠道町2062,859456361,859457449,133.2359536,35.51810421
2306,避難所,境港市,幸神体育館,境港市小篠津町19,,,133.2443377,35.5035193
2307,避難所,境港市,市民の森,境港市幸神町９０７－１外,,,133.2402642,35.50846198
2309,避難所,境港市,中浜小学校,境港市麦垣町432,859450771,859457448,133.249771,35.50915303
2310,避難所,境港市,市民スポーツ広場,境港市夕日ヶ丘１丁目4133-9,,,133.2218691,35.50338645
2311,避難所,境港市,渡小学校,境港市渡町901,859450354,859457446,133.2188687,35.51681641
2313,避難所,境港市,渡保育所,境港市渡町1342-1,859450656,859450656,133.2123958,35.51795212
2314,避難所,境港市,第三中学校,境港市外江町1372,859426663,859426664,133.2157917,35.52482914
2315,避難所,境港市,外江保育所・わかまつ幼稚園,境港市外江町1770-1,外江保育所：0859423230、わかまつ幼稚園：0859447001,859423230,133.2130428,35.53341191
2308,避難所,境港市,中浜サントピア（中浜緑地）,境港市小篠津町1548-2外,,,133.2454295,35.50286097
2315,避難所,境港市,外江保育所・わかまつ幼稚園,境港市外江町1770-1,外江保育所：0859423230、わかまつ幼稚園：0859447001,859423230,133.2130428,35.53341191
2316,避難所,境港市,境港総合技術高等学校,境港市竹内町925,859450411,859450413,133.2377047,35.52606551
2317,避難所,境港市,境高等学校,境港市上道町3030,859440441,859440443,133.2341147,35.53646479
2318,避難所,岩美町,旧東小学校体育館,岩美町陸上33,857728063,,134.3609655,35.59993099
2319,避難所,岩美町,岩美北小学校体育館,岩美町浦富2188,857720266,857720267,134.3317483,35.5876146
2320,避難所,岩美町,岩美中学校体育館,岩美町浦富707,857720121,857731633,134.329564,35.57462133
2321,避難所,岩美町,中央公民館,岩美町浦富1038,857720510,857731440,134.3343148,35.57546463
2322,避難所,岩美町,町民体育館,岩美町浦富1038-6,857731302,,134.3343593,35.57589702
2323,避難所,岩美町,旧保健センター,岩美町浦富６４５,857731333,857731344,134.3308872,35.5794102
2324,避難所,岩美町,岩美西小学校体育館,岩美町大谷2343,857728200,857728216,134.2985046,35.57857154
2325,避難所,岩美町,旧小田小学校体育館,岩美町院内290-3,,,134.3409209,35.52998664
